configuration,both_favourable,both_inside_v0_range,both_unfavourable,mixed,n_metrics,fraction_both_favourable,fraction_both_inside_v0_range,fraction_both_unfavourable,fraction_mixed
C_10,3,13,1,11,28,0.10714285714285714,0.4642857142857143,0.03571428571428571,0.39285714285714285
D_IP_1,2,12,2,12,28,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.42857142857142855
D_MTCP_1,1,16,1,10,28,0.03571428571428571,0.5714285714285714,0.03571428571428571,0.35714285714285715
D_MTC_1,3,2,13,10,28,0.10714285714285714,0.07142857142857142,0.4642857142857143,0.35714285714285715
D_MTP_0,2,11,0,15,28,0.07142857142857142,0.39285714285714285,0.0,0.5357142857142857
D_MTP_1,3,14,2,9,28,0.10714285714285714,0.5,0.07142857142857142,0.32142857142857145
D_MT_1,3,0,20,5,28,0.10714285714285714,0.0,0.7142857142857143,0.17857142857142858
D_MZIP_1,2,14,1,11,28,0.07142857142857142,0.5,0.03571428571428571,0.39285714285714285
D_MZP_1,3,5,1,19,28,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.6785714285714286
V0_C_0,0,7,2,19,28,0.0,0.25,0.07142857142857142,0.6785714285714286
V0_C_1,4,16,2,6,28,0.14285714285714285,0.5714285714285714,0.07142857142857142,0.21428571428571427
V0_I_0,2,15,3,8,28,0.07142857142857142,0.5357142857142857,0.10714285714285714,0.2857142857142857
V0_I_1,1,8,6,13,28,0.03571428571428571,0.2857142857142857,0.21428571428571427,0.4642857142857143
V0_M_0,1,10,3,14,28,0.03571428571428571,0.35714285714285715,0.10714285714285714,0.5
V0_M_1,2,9,2,15,28,0.07142857142857142,0.32142857142857145,0.07142857142857142,0.5357142857142857
V0_T_0,2,15,0,11,28,0.07142857142857142,0.5357142857142857,0.0,0.39285714285714285
V0_T_1,1,7,1,19,28,0.03571428571428571,0.25,0.03571428571428571,0.6785714285714286
V0_Z_0,0,14,2,12,28,0.0,0.5,0.07142857142857142,0.42857142857142855
V0_Z_1,1,15,2,10,28,0.03571428571428571,0.5357142857142857,0.07142857142857142,0.35714285714285715
