configuration,pillar_balanced_median_gap,pillar_balanced_mean_gap,minimum_pillar_median_gap,maximum_pillar_median_gap,n_pillars,pillar_balanced_rank
V0_C_1,0.2834948536488335,0.571146596264739,0.06887631876532316,2.330776332933531,7,1
D_MTP_0,0.37470500830347153,0.5123150338677215,0.031121090132545482,1.2971811151093564,7,2
D_MTP_1,0.38559990467672456,0.5115927007422656,0.18535212125518294,1.2078727694358975,7,3
D_MTCP_1,0.3953791602160359,0.5235174464617979,0.21709685729079767,1.0352138892910756,7,4
V0_I_1,0.40168131785345895,0.600739462081881,0.175446840830003,1.5264049955396974,7,5
C_10,0.40414161101173707,0.5351502686029721,0.08258046958002704,1.256069766896263,7,6
D_MZIP_1,0.4466781586205997,0.7002803720737659,0.06842766427193056,1.9673785157845676,7,7
V0_Z_1,0.45378617494854745,0.437213466026496,0.08467050968533865,0.789332075876181,7,8
D_IP_1,0.5058363648674106,0.3878672499867068,0.1273007867810148,0.6231323474043761,7,9
V0_T_0,0.5624887006379294,0.7334068859811581,0.4662947093082942,1.1871429815053807,7,10
V0_Z_0,0.5800371094022307,0.7398739322267014,0.25136637573974785,1.3770341831808723,7,11
V0_M_0,0.6413465088553234,1.0245831880217497,0.3693275004277905,2.4693036677215914,7,12
V0_C_0,0.6487947956012974,1.0381980408036788,0.4331206901004676,3.103410666059386,7,13
V0_I_0,0.6699991441882716,0.6710878111737565,0.2476967668578045,1.150891747367574,7,14
D_MZP_1,0.735108727179847,0.8130001378034065,0.5729772019917967,1.31385280793751,7,15
V0_T_1,0.7404264854323445,0.823399901734514,0.34007606649702715,1.655461439643325,7,16
V0_M_1,0.8197740112994355,0.925943613465196,0.3427178449571717,1.9966402882296153,7,17
D_MTC_1,0.8568753323738189,1.5399802275590635,0.6542406729020269,3.804083847392925,7,18
D_MT_1,1.1065994777615975,27.15262579471977,0.34583164286336765,180.56118471187492,7,19
