configuration,pillar_balanced_median_gap,pillar_balanced_mean_gap,minimum_pillar_median_gap,maximum_pillar_median_gap,n_pillars,pillar_balanced_rank
V0_C_1,0.12373876813413019,0.5075312299392296,0.06914721753254766,2.330776332933531,7,1
D_IP_1,0.2596656794337635,0.49967377220980874,0.1273007867810148,1.615949593805948,7,2
D_MTP_1,0.2615554878899905,0.4634313430904345,0.1286503454482486,1.1100613408006188,7,3
V0_Z_1,0.30830822915255685,0.45187739916369807,0.18070183072586546,0.8999422108478494,7,4
D_MTCP_1,0.3953791602160359,0.4779022927012817,0.21709685729079767,1.0352138892910756,7,5
C_10,0.40414161101173707,0.4769190302553685,0.2906744239647904,0.8480326352144705,7,6
V0_I_0,0.4554780394451259,0.5312867724203977,0.2476967668578045,0.9321005191249776,7,7
D_MZIP_1,0.4625802280654565,0.5593344050251515,0.06842766427193056,1.0959037642471166,7,8
V0_I_1,0.49885519736589456,0.6375747327102302,0.30455974437417643,1.5264049955396974,7,9
V0_C_0,0.5144393867605594,0.6090514808546844,0.4331206901004676,1.0108879839836502,7,10
V0_M_0,0.5210703769168334,0.7161800259214852,0.3693275004277905,1.8385370205173954,7,11
V0_Z_0,0.5800371094022307,0.6179006936007377,0.25136637573974785,1.0790827517871566,7,12
D_MTP_0,0.6133125847096039,0.5871564206162053,0.28210588659224667,0.8508235013584624,7,13
V0_T_1,0.6377591486371172,0.663918411646008,0.42421669355523445,0.8898425783406025,7,14
D_MT_1,0.732439744817408,0.9905827563820926,0.34583164286336765,2.2575878813300703,7,15
V0_T_0,0.7397973186304438,0.7506171778510495,0.4662947093082942,1.3002809437764695,7,16
D_MZP_1,0.7891756011641025,0.8760056534171675,0.5729772019917967,1.301671602831183,7,17
V0_M_1,0.7951349195690289,0.7272760869304558,0.3427178449571717,1.1080769037698914,7,18
D_MTC_1,0.8720288095121188,1.2303143080117651,0.6542406729020269,2.5618647808579693,7,19
