configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
C_10,distributional.wasserstein,Wasserstein distance,0,Distributional,0.414539,0.488466,0.07392700000000002,0.304218,0.69937,0.39515200000000006,0.18708496983439288
V0_C_0,distributional.wasserstein,Wasserstein distance,0,Distributional,0.725185,0.541999,0.18318599999999996,0.304218,0.69937,0.39515200000000006,0.46358363363971317
V0_C_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.410171,0.39567,0.014500999999999986,0.304218,0.69937,0.39515200000000006,0.03669727092359392
V0_I_0,distributional.wasserstein,Wasserstein distance,0,Distributional,0.480651,0.661727,0.18107599999999996,0.304218,0.69937,0.39515200000000006,0.4582439162651332
V0_I_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.757905,0.563952,0.19395300000000004,0.304218,0.69937,0.39515200000000006,0.4908313762805199
V0_M_0,distributional.wasserstein,Wasserstein distance,0,Distributional,0.621637,0.41116,0.21047699999999997,0.304218,0.69937,0.39515200000000006,0.5326481961371825
V0_M_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.650348,0.375441,0.274907,0.304218,0.69937,0.39515200000000006,0.6956993764424828
V0_T_0,distributional.wasserstein,Wasserstein distance,0,Distributional,0.614678,0.322292,0.2923859999999999,0.304218,0.69937,0.39515200000000006,0.7399329878122846
V0_T_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.268105,0.57384,0.30573500000000003,0.304218,0.69937,0.39515200000000006,0.7737149248896626
V0_Z_0,distributional.wasserstein,Wasserstein distance,0,Distributional,0.39885,0.539058,0.14020800000000005,0.304218,0.69937,0.39515200000000006,0.35482042353322274
V0_Z_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.467451,0.403703,0.06374800000000003,0.304218,0.69937,0.39515200000000006,0.16132526217759247
D_IP_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.498497,0.434689,0.06380800000000003,0.304218,0.69937,0.39515200000000006,0.1614771024820829
D_MZP_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.717182,0.379412,0.33776999999999996,0.304218,0.69937,0.39515200000000006,0.8547849941288413
D_MTP_0,distributional.wasserstein,Wasserstein distance,0,Distributional,0.634396,0.423649,0.21074699999999996,0.304218,0.69937,0.39515200000000006,0.5333314775073894
