configuration,leave_one_out_median_gap,leave_one_out_rank,omitted_pillar
V0_C_1,0.2634645013310454,1,Climatological
D_IP_1,0.39133582947160106,2,Climatological
D_MTCP_1,0.4194296038682494,3,Climatological
D_MTP_1,0.4296818139524252,4,Climatological
V0_Z_1,0.44993487474045285,5,Climatological
C_10,0.46432397934001524,6,Climatological
V0_I_1,0.49036071274527737,7,Climatological
V0_I_0,0.500734040757579,8,Climatological
V0_M_0,0.5196030106441946,9,Climatological
V0_C_0,0.5316966280246427,10,Climatological
D_MZIP_1,0.5518092770315671,11,Climatological
D_MTP_0,0.5645757326231126,12,Climatological
V0_T_1,0.6144653477447761,13,Climatological
V0_Z_0,0.6369804964166277,14,Climatological
V0_T_0,0.6802947237698175,15,Climatological
V0_M_1,0.7370276816118891,16,Climatological
D_MZP_1,0.8324819910495057,17,Climatological
D_MT_1,0.9195196112895028,18,Climatological
D_MTC_1,1.1153213236662478,19,Climatological
V0_C_1,0.2634645013310454,1,Distributional
V0_Z_1,0.29556438597213364,2,Distributional
D_MTCP_1,0.3912408500711875,3,Distributional
D_IP_1,0.39133582947160106,4,Distributional
D_MTP_1,0.40847238660527563,5,Distributional
C_10,0.4387456454242597,6,Distributional
V0_C_0,0.5041915686223652,7,Distributional
V0_I_0,0.5196319969827408,8,Distributional
V0_I_1,0.5388089432947691,9,Distributional
V0_M_0,0.5405825343488793,10,Distributional
D_MZIP_1,0.5518092770315671,11,Distributional
V0_Z_0,0.5908367970032617,12,Distributional
V0_T_1,0.6144653477447761,13,Distributional
D_MTP_0,0.6415487724158906,14,Distributional
V0_T_0,0.7607701670169303,15,Distributional
V0_M_1,0.8074544654342322,16,Distributional
D_MZP_1,0.8324819910495057,17,Distributional
D_MT_1,0.9195196112895028,18,Distributional
D_MTC_1,1.1153213236662478,19,Distributional
V0_C_1,0.12045522504910237,1,Extremes
D_IP_1,0.24543017782611865,2,Extremes
C_10,0.37856327709598153,3,Extremes
D_MTCP_1,0.4194296038682494,4,Extremes
D_MTP_1,0.4296818139524252,5,Extremes
V0_Z_1,0.44993487474045285,6,Extremes
D_MZIP_1,0.5023524043019865,7,Extremes
V0_I_0,0.5196319969827408,8,Extremes
V0_C_0,0.5214488098864485,9,Extremes
V0_I_1,0.5388089432947691,10,Extremes
V0_M_0,0.5391151680762404,11,Extremes
D_MTP_0,0.5645757326231126,12,Extremes
V0_Z_0,0.6369804964166277,13,Extremes
D_MT_1,0.6884047151396542,14,Extremes
V0_T_1,0.6890928170347308,15,Extremes
V0_T_0,0.701267572156304,16,Extremes
D_MZP_1,0.7621421641719748,17,Extremes
V0_M_1,0.8074544654342322,18,Extremes
D_MTC_1,0.8644520709429688,19,Extremes
V0_C_1,0.2634645013310454,1,Features
D_MTCP_1,0.36719040641897394,2,Features
C_10,0.37856327709598153,3,Features
D_IP_1,0.39133582947160106,4,Features
D_MZIP_1,0.41312335533587585,5,Features
D_MTP_1,0.4296818139524252,6,Features
V0_Z_1,0.43719103156002964,7,Features
V0_M_0,0.5196030106441946,8,Features
V0_I_0,0.5196319969827408,9,Features
V0_I_1,0.530314458674152,10,Features
V0_C_0,0.5316966280246427,11,Features
V0_Z_0,0.5338934099888647,12,Features
D_MTP_0,0.6415487724158906,13,Features
V0_T_0,0.6802947237698175,14,Features
V0_T_1,0.6890928170347308,15,Features
V0_M_1,0.7493472274770925,16,Features
D_MZP_1,0.8054485540573779,17,Features
D_MT_1,0.8754845816117489,18,Features
D_MTC_1,1.1077445850970977,19,Features
D_MTP_1,0.24034606054284088,1,Probabilistic
V0_C_1,0.26018095824601756,2,Probabilistic
V0_Z_1,0.29556438597213364,3,Probabilistic
D_MTCP_1,0.36719040641897394,4,Probabilistic
D_IP_1,0.3771003278639562,5,Probabilistic
V0_I_0,0.4365800832199641,6,Probabilistic
C_10,0.46432397934001524,7,Probabilistic
V0_I_1,0.49036071274527737,8,Probabilistic
V0_C_0,0.5041915686223652,9,Probabilistic
V0_Z_0,0.5338934099888647,10,Probabilistic
V0_M_0,0.5405825343488793,11,Probabilistic
D_MZIP_1,0.5518092770315671,12,Probabilistic
D_MTP_0,0.5928119203293992,13,Probabilistic
V0_T_1,0.6657990161423897,14,Probabilistic
V0_M_1,0.7370276816118891,15,Probabilistic
V0_T_0,0.7607701670169303,16,Probabilistic
D_MZP_1,0.7621421641719748,17,Probabilistic
D_MTC_1,0.8644520709429688,18,Probabilistic
D_MT_1,0.9195196112895028,19,Probabilistic
V0_C_1,0.12045522504910237,1,Scale
D_MTP_1,0.24034606054284088,2,Scale
D_IP_1,0.24543017782611865,3,Scale
C_10,0.37856327709598153,4,Scale
D_MZIP_1,0.41312335533587585,5,Scale
D_MTCP_1,0.4194296038682494,6,Scale
V0_I_0,0.4365800832199641,7,Scale
V0_Z_1,0.44993487474045285,8,Scale
V0_I_1,0.49036071274527737,9,Scale
V0_M_0,0.5196030106441946,10,Scale
V0_C_0,0.5316966280246427,11,Scale
V0_Z_0,0.6369804964166277,12,Scale
D_MTP_0,0.6415487724158906,13,Scale
D_MT_1,0.6884047151396542,14,Scale
V0_T_1,0.6890928170347308,15,Scale
V0_M_1,0.7370276816118891,16,Scale
V0_T_0,0.7607701670169303,17,Scale
D_MZP_1,0.8324819910495057,18,Scale
D_MTC_1,1.1153213236662478,19,Scale
V0_C_1,0.12045522504910237,1,Temporal
D_MTP_1,0.24034606054284088,2,Temporal
D_IP_1,0.24543017782611865,3,Temporal
V0_Z_1,0.29556438597213364,4,Temporal
D_MTCP_1,0.36719040641897394,5,Temporal
D_MZIP_1,0.41312335533587585,6,Temporal
V0_I_0,0.4365800832199641,7,Temporal
C_10,0.46432397934001524,8,Temporal
V0_C_0,0.5041915686223652,9,Temporal
V0_Z_0,0.5338934099888647,10,Temporal
V0_I_1,0.5388089432947691,11,Temporal
V0_M_0,0.5405825343488793,12,Temporal
D_MTP_0,0.5645757326231126,13,Temporal
V0_T_1,0.6144653477447761,14,Temporal
V0_T_0,0.6802947237698175,15,Temporal
D_MT_1,0.6884047151396542,16,Temporal
D_MZP_1,0.7621421641719748,17,Temporal
V0_M_1,0.8074544654342322,18,Temporal
D_MTC_1,0.8644520709429688,19,Temporal
