run_id,summary_run_id,run_label,configuration,seed,summary_path,probabilistic.crps_mean,scale.iss_primary,scale.slope_mid,scale.hr_slope_mid,extremes.p99_9,extremes.hr_p99_9,climatological.annual_sum_mean,climatological.hr_annual_sum_mean,climatological.annual_sum_std,climatological.hr_annual_sum_std
V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0,V0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.885074,0.493738,-2.506285,-2.731742,32.818795,38.820392,771.1617431640625,877.1588134765625,113.93865203857422,146.65576171875
V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_seed2,V0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.954702,0.489007,-2.402674,-2.731742,32.462996,38.820392,660.6624145507812,877.1588134765625,94.06837463378906,146.65576171875
V0__seed3__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0__seed3__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_seed3,V0,3,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__seed3__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.984679,0.470184,-2.390394,-2.731742,34.790453,38.820392,625.8766479492188,877.1588134765625,83.54216003417969,146.65576171875
C_10__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10,C_10,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/C_10__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.888114,0.467515,-2.397652,-2.731742,36.632552,38.820392,729.3935546875,877.1588134765625,123.41931915283203,146.65576171875
C_10__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10_seed2,C_10,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/C_10__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.917511,0.487233,-2.325458,-2.731742,33.642471,38.820392,700.9620361328125,877.1588134765625,111.69678497314453,146.65576171875
V0_C_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_0,V0_C_0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_C_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.989702,0.472693,-2.451983,-2.731742,30.448079,38.820392,613.0679321289062,877.1588134765625,93.0483627319336,146.65576171875
V0_C_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_0_seed2,V0_C_0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_C_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.942301,0.469415,-2.3074,-2.731742,35.855295,38.820392,683.1214599609375,877.1588134765625,108.42010498046875,146.65576171875
V0_C_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_1,V0_C_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_C_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.885805,0.479313,-2.519633,-2.731742,31.979129,38.820392,728.720458984375,877.1588134765625,101.92577362060547,146.65576171875
V0_C_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_C_1_seed2,V0_C_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_C_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_cape_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.89813,0.484643,-2.249517,-2.731742,40.13751,38.820392,740.943115234375,877.1588134765625,103.57221984863281,146.65576171875
V0_I_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0,V0_I_0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.891277,0.485777,-2.539683,-2.731742,30.889881,38.820392,704.247802734375,877.1588134765625,108.52046203613281,146.65576171875
