configuration,core_metric_median_gap,expanded_metric_median_gap,pillar_balanced_median_gap,n_pillars,core_metric_rank,expanded_metric_rank,pillar_balanced_rank,best_leave_one_pillar_out_rank,worst_leave_one_pillar_out_rank,median_leave_one_pillar_out_rank,configuration_group,leave_one_pillar_out_rank_range
V0_C_1,0.3651594011788918,0.2834948536488335,0.12373876813413019,7,3.0,2.0,1.0,1,2,1.0,context/single-variable,1
D_IP_1,0.38343802301619817,0.38343802301619817,0.2596656794337635,7,5.0,4.0,2.0,2,5,3.0,precipitation-conditioned physics set,3
D_MTP_1,0.4550442477876053,0.450246979319541,0.2615554878899905,7,7.0,7.0,3.0,1,6,4.0,precipitation-conditioned physics set,5
V0_Z_1,0.282023625648236,0.282023625648236,0.30830822915255685,7,1.0,1.0,4.0,2,8,5.0,context/single-variable,6
D_MTCP_1,0.36075215051668674,0.3751102362124386,0.3953791602160359,7,2.0,3.0,5.0,2,6,4.0,precipitation-conditioned physics set,4
C_10,0.49033540064632447,0.49033540064632447,0.40414161101173707,7,8.0,8.0,6.0,3,8,6.0,context/single-variable,5
V0_I_0,0.5798234563251383,0.5798234563251383,0.4554780394451259,7,10.0,12.0,7.0,6,9,8.0,context/single-variable,3
D_MZIP_1,0.38197958584480396,0.4466781586205997,0.4625802280654565,7,4.0,6.0,8.0,5,12,7.0,precipitation-conditioned physics set,7
V0_I_1,0.7176793221303829,0.7062917722977653,0.49885519736589456,7,15.0,15.0,9.0,7,11,9.0,context/single-variable,4
V0_C_0,0.6343241049377386,0.5133619352608556,0.5144393867605594,7,12.0,9.0,10.0,7,11,9.0,context/single-variable,4
V0_M_0,0.5883357007356068,0.536028833349616,0.5210703769168334,7,11.0,10.0,11.0,8,12,10.0,context/single-variable,4
V0_Z_0,0.4081095603127438,0.430434670316899,0.5800371094022307,7,6.0,5.0,12.0,10,14,12.0,context/single-variable,4
D_MTP_0,0.5553592378494256,0.559398992817634,0.6133125847096039,7,9.0,11.0,13.0,12,14,13.0,precipitation-conditioned physics set,2
V0_T_1,0.7006491238361364,0.7006491238361364,0.6377591486371172,7,14.0,14.0,14.0,13,15,14.0,context/single-variable,2
D_MT_1,0.9050141146551206,0.9050141146551206,0.732439744817408,7,18.0,17.0,15.0,14,19,18.0,no-P,5
V0_T_0,0.7399329878122846,0.7399329878122846,0.7397973186304438,7,16.0,16.0,16.0,14,17,15.0,context/single-variable,3
D_MZP_1,0.8265226430891914,0.9909961431544544,0.7891756011641025,7,17.0,18.0,17.0,17,18,17.0,precipitation-conditioned physics set,1
V0_M_1,0.6981684633904832,0.6981684633904832,0.7951349195690289,7,13.0,13.0,18.0,15,18,16.0,context/single-variable,3
D_MTC_1,1.1515251302191722,1.1998795241202747,0.8720288095121188,7,19.0,19.0,19.0,18,19,19.0,no-P,1
