run_id,run_label,configuration,seed,summary_path,metric,metric_label,unit,target_type,reference_key,reference_value,target_value,target_improvement,value,v0_mean_value,improvement,v0_band_min,v0_band_max
V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0,V0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.885074,0.941485,0.05641099999999999,-0.043193999999999955,0.05641099999999999
V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_seed2,V0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.954702,0.941485,-0.013217000000000034,-0.043193999999999955,0.05641099999999999
V0__seed3__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_seed3,V0,3,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__seed3__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.984679,0.941485,-0.043193999999999955,-0.043193999999999955,0.05641099999999999
C_10__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10,C_10,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/C_10__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.888114,0.941485,0.05337100000000006,-0.043193999999999955,0.05641099999999999
C_10__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10_seed2,C_10,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/C_10__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.917511,0.941485,0.02397400000000005,-0.043193999999999955,0.05641099999999999
V0_I_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0,V0_I_0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.891277,0.941485,0.05020800000000003,-0.043193999999999955,0.05641099999999999
V0_I_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0_seed2,V0_I_0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.949425,0.941485,-0.007939999999999947,-0.043193999999999955,0.05641099999999999
V0_T_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_1,V0_T_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_T_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.870516,0.941485,0.07096900000000006,-0.043193999999999955,0.05641099999999999
V0_T_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_1_seed2,V0_T_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_T_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.93404,0.941485,0.007445000000000035,-0.043193999999999955,0.05641099999999999
D_MZIP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MZIP_1,D_MZIP_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MZIP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.889042,0.941485,0.05244300000000002,-0.043193999999999955,0.05641099999999999
D_MZIP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MZIP_1_seed2,D_MZIP_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MZIP_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,probabilistic.crps_mean,CRPS,mm day$^{-1}$,zero,,,0.0,0.941485,0.925265,0.941485,0.016220000000000012,-0.043193999999999955,0.05641099999999999
