configuration,metric,metric_label,metric_index,pillar,seed_1_value,seed_2_value,raw_seed_gap,v0_min,v0_max,v0_range,normalized_seed_gap
C_10,distributional.wasserstein,Wasserstein distance,0,Distributional,0.414539,0.488466,0.07392700000000002,0.304218,0.69937,0.39515200000000006,0.18708496983439288
V0_I_0,distributional.wasserstein,Wasserstein distance,0,Distributional,0.480651,0.661727,0.18107599999999996,0.304218,0.69937,0.39515200000000006,0.4582439162651332
V0_T_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.268105,0.57384,0.30573500000000003,0.304218,0.69937,0.39515200000000006,0.7737149248896626
D_MZIP_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.395593,0.39854,0.002947000000000033,0.304218,0.69937,0.39515200000000006,0.007457889622221404
D_IP_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.498497,0.434689,0.06380800000000003,0.304218,0.69937,0.39515200000000006,0.1614771024820829
D_MTP_1,distributional.wasserstein,Wasserstein distance,0,Distributional,0.419605,0.455036,0.03543099999999999,0.304218,0.69937,0.39515200000000006,0.0896642304733368
D_MT_1,distributional.wasserstein,Wasserstein distance,0,Distributional,1.248268,1.508355,0.26008699999999996,0.304218,0.69937,0.39515200000000006,0.6581948212333479
D_MTC_1,distributional.wasserstein,Wasserstein distance,0,Distributional,1.196447,0.741807,0.45464000000000004,0.304218,0.69937,0.39515200000000006,1.1505446005587723
C_10,distributional.ks_stat,KS statistic,1,Distributional,0.064228,0.100196,0.035968,0.090341,0.148242,0.05790100000000001,0.6211982521890813
V0_I_0,distributional.ks_stat,KS statistic,1,Distributional,0.085173,0.087324,0.002151,0.090341,0.148242,0.05790100000000001,0.03714961745047581
V0_T_1,distributional.ks_stat,KS statistic,1,Distributional,0.04294,0.083884,0.040944,0.090341,0.148242,0.05790100000000001,0.7071380459750263
D_MZIP_1,distributional.ks_stat,KS statistic,1,Distributional,0.090838,0.112955,0.022116999999999998,0.090341,0.148242,0.05790100000000001,0.38197958584480396
D_IP_1,distributional.ks_stat,KS statistic,1,Distributional,0.085442,0.090834,0.005391999999999994,0.090341,0.148242,0.05790100000000001,0.09312447107994669
D_MTP_1,distributional.ks_stat,KS statistic,1,Distributional,0.118344,0.093247,0.025097000000000008,0.090341,0.148242,0.05790100000000001,0.4334467453066442
D_MT_1,distributional.ks_stat,KS statistic,1,Distributional,0.154192,0.182956,0.028764000000000012,0.090341,0.148242,0.05790100000000001,0.4967789848189152
D_MTC_1,distributional.ks_stat,KS statistic,1,Distributional,0.135329,0.112265,0.023064,0.090341,0.148242,0.05790100000000001,0.3983350892039861
C_10,probabilistic.crps_mean,CRPS,2,Probabilistic,0.888114,0.917511,0.029397000000000006,0.885074,0.984679,0.09960499999999994,0.2951357863561069
V0_I_0,probabilistic.crps_mean,CRPS,2,Probabilistic,0.891277,0.949425,0.05814799999999998,0.885074,0.984679,0.09960499999999994,0.5837859545203555
V0_T_1,probabilistic.crps_mean,CRPS,2,Probabilistic,0.870516,0.93404,0.06352400000000002,0.885074,0.984679,0.09960499999999994,0.6377591486371172
D_MZIP_1,probabilistic.crps_mean,CRPS,2,Probabilistic,0.889042,0.925265,0.036223000000000005,0.885074,0.984679,0.09960499999999994,0.36366648260629514
D_IP_1,probabilistic.crps_mean,CRPS,2,Probabilistic,0.920705,0.894841,0.025863999999999998,0.885074,0.984679,0.09960499999999994,0.2596656794337635
D_MTP_1,probabilistic.crps_mean,CRPS,2,Probabilistic,0.921863,0.906127,0.015735999999999972,0.885074,0.984679,0.09960499999999994,0.15798403694593627
D_MT_1,probabilistic.crps_mean,CRPS,2,Probabilistic,1.770419,1.825387,0.05496800000000013,0.885074,0.984679,0.09960499999999994,0.5518598463932549
D_MTC_1,probabilistic.crps_mean,CRPS,2,Probabilistic,1.682172,1.562658,0.1195139999999999,0.885074,0.984679,0.09960499999999994,1.1998795241202747
C_10,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.054034,0.067533,0.013498999999999997,0.074564,0.123016,0.048451999999999995,0.27860563031453806
V0_I_0,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.054691,0.091331,0.03664,0.074564,0.123016,0.048451999999999995,0.7562123338561876
V0_T_1,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.062274,0.075406,0.013131999999999998,0.074564,0.123016,0.048451999999999995,0.27103112358622966
D_MZIP_1,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.050337,0.043118,0.007219000000000003,0.074564,0.123016,0.048451999999999995,0.1489928176339471
D_IP_1,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.064994,0.059906,0.005087999999999995,0.074564,0.123016,0.048451999999999995,0.10501114505077182
D_MTP_1,probabilistic.pit_ks_D,PIT KS statistic,3,Probabilistic,0.054566,0.083531,0.02896499999999999,0.074564,0.123016,0.048451999999999995,0.5978081400148599
