run_id,run_label,configuration,seed,summary_path,probabilistic.crps_mean,scale.iss_primary,scale.slope_mid,scale.hr_slope_mid,extremes.p99_9,extremes.hr_p99_9,climatological.annual_sum_mean,climatological.hr_annual_sum_mean,climatological.annual_sum_std,climatological.hr_annual_sum_std
V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0,V0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.885074,0.493738,-2.506285,-2.731742,32.818795,38.820392,771.1617431640625,877.1588134765625,113.93865203857422,146.65576171875
V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_seed2,V0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.954702,0.489007,-2.402674,-2.731742,32.462996,38.820392,660.6624145507812,877.1588134765625,94.06837463378906,146.65576171875
V0__seed3__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_seed3,V0,3,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0__seed3__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.984679,0.470184,-2.390394,-2.731742,34.790453,38.820392,625.8766479492188,877.1588134765625,83.54216003417969,146.65576171875
C_10__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10,C_10,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/C_10__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.888114,0.467515,-2.397652,-2.731742,36.632552,38.820392,729.3935546875,877.1588134765625,123.41931915283203,146.65576171875
C_10__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,C_10_seed2,C_10,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/C_10__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.917511,0.487233,-2.325458,-2.731742,33.642471,38.820392,700.9620361328125,877.1588134765625,111.69678497314453,146.65576171875
V0_I_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0,V0_I_0,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_0__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.891277,0.485777,-2.539683,-2.731742,30.889881,38.820392,704.247802734375,877.1588134765625,108.52046203613281,146.65576171875
V0_I_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_I_0_seed2,V0_I_0,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_I_0__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.949425,0.480187,-2.42461,-2.731742,31.093652,38.820392,636.4241943359375,877.1588134765625,95.02062225341797,146.65576171875
V0_T_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_1,V0_T_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_T_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.870516,0.479725,-2.423153,-2.731742,37.782462,38.820392,782.7293701171875,877.1588134765625,117.2903823852539,146.65576171875
V0_T_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,V0_T_1_seed2,V0_T_1,2,/Users/au728490/ceddar_runs/models_and_samples/evaluation/V0_T_1__seed2__HR_prcp_DANRA__SIZE_128x128__LR_prcp_thetae_pl_850_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.93404,0.489717,-2.479673,-2.731742,30.446239,38.820392,670.7808837890625,877.1588134765625,87.60845184326172,146.65576171875
D_MZIP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56,D_MZIP_1,D_MZIP_1,1,/Users/au728490/ceddar_runs/models_and_samples/evaluation/D_MZIP_1__HR_prcp_DANRA__SIZE_128x128__LR_prcp_msl_z_pl_500_ewvf_nwvf_ERA5__LOSS_sdfweighted__HEADS_4__TIMESTEPS_56/summary/evaluation_summary.json,0.889042,0.476036,-2.499628,-2.731742,31.382185,38.820392,737.80419921875,877.1588134765625,106.98373413085938,146.65576171875
